hour,avg_uv_index
0,0.012212789167634795
1,0.012255687828261521
2,0.012281314770997266
3,0.01230528060881162
4,0.012457056340612957
5,0.02660715214126901
6,0.12892691550140076
7,0.4674414075041202
8,1.1923106411467457
9,2.267876794130494
10,3.4292009269040307
11,4.300999526869248
12,4.552444896875277
13,4.1198842570695335
14,3.139138971564632
15,1.962646861301391
16,0.9692615485107656
17,0.3474330389857834
18,0.08464077669902913
19,0.017621998332534212
20,0.012069221578112634
21,0.01204034127878738
22,0.012116583817342446
23,0.012415059860780122
