year,month,max_uv_index
2010,1,13.22
2010,2,11.99
2010,3,9.94
2010,4,6.17
2010,5,3.49
2010,6,1.89
2010,7,2.49
2010,8,4.48
2010,9,6.32
2010,10,9.01
2010,11,11.38
2010,12,12.95
2011,1,13.13
2011,2,12.24
2011,3,9.48
2011,4,6.83
2011,5,3.84
2011,6,2.1
2011,7,2.28
2011,8,4.19
2011,9,6.04
2011,10,9.01
2011,11,12.48
2011,12,12.12
2012,1,13.96
2012,2,13.93
2012,3,10.25
2012,4,6.52
2012,5,3.27
2012,6,2.12
2012,7,2.33
2012,8,4.48
2012,9,6.41
2012,10,8.19
2012,11,11.83
2012,12,13.44
2013,1,13.45
2013,2,12.11
2013,3,9.59
2013,4,7.14
2013,5,3.39
2013,6,2.45
2013,7,2.76
2013,8,4.73
2013,9,6.72
2013,10,10.73
2013,11,11.54
2013,12,13.68
2014,1,14.86
2014,2,11.95
2014,3,9.86
2014,4,6.83
2014,5,3.71
2014,6,2.09
2014,7,2.94
2014,8,3.89
2014,9,6.69
2014,10,8.87
2014,11,11.02
2014,12,12.2
2015,1,13.69
2015,2,11.64
2015,3,10.5
2015,4,7.36
2015,5,3.88
2015,6,2.4
2015,7,2.5
2015,8,4.67
2015,9,7.85
2015,10,8.64
2015,11,11.23
2015,12,13.11
2016,1,13.56
2016,2,12.29
2016,3,10.19
2016,4,6.45
2016,5,3.85
2016,6,2.7
2016,7,3.01
2016,8,5.05
2016,9,6.46
2016,10,9.04
2016,11,11.49
2016,12,14.97
2017,1,13.6
2017,2,12.3
2017,3,9.7
2017,4,7.11
2017,5,4.33
2017,6,2.12
2017,7,2.42
2017,8,3.87
2017,9,6.65
2017,10,9.27
2017,11,10.42
2017,12,12.74
2018,1,13.05
2018,2,11.02
2018,3,9.69
2018,4,6.66
2018,5,3.28
2018,6,1.91
2018,7,2.25
2018,8,3.3
2018,9,6.05
2018,10,8.16
2018,11,10.72
2018,12,13.12
2019,1,12.18
2019,2,10.75
2019,3,8.96
2019,4,5.98
2019,5,3.45
2019,6,2.2
2019,7,2.39
2019,8,3.88
2019,9,5.8
2019,10,8.31
2019,11,11.89
2019,12,13.62
2020,1,14.48
2020,2,13.06
2020,3,10.22
2020,4,7.16
2020,5,3.84
2020,6,2.36
2020,7,2.8
2020,8,4.63
2020,9,7.23
2020,10,8.84
2020,11,12.68
2020,12,13.31
2021,1,12.8
2021,2,13.07
2021,3,9.71
2021,4,6.26
2021,5,3.65
2021,6,2.28
2021,7,2.71
2021,8,4.2
2021,9,6.15
2021,10,9.12
2021,11,11.78
2021,12,12.49
2022,1,12.66
2022,2,11.69
2022,3,9.7
2022,4,6.23
2022,5,3.83
2022,6,2.22
2022,7,2.46
2022,8,4.12
2022,9,6.84
2022,10,8.96
2022,11,11.66
2022,12,11.78
2023,1,12.15
2023,2,11.66
2023,3,9.37
2023,4,5.51
2023,5,3.73
2023,6,2.19
2023,7,2.49
2023,8,4.27
2023,9,5.73
2023,10,9.41
2023,11,10.66
2023,12,12.82
2024,1,12.35
2024,2,11.83
2024,3,10.1
2024,4,6.19
2024,5,3.18
2024,6,2.08
2024,7,2.27
2024,8,4.05
2024,9,5.74
2024,10,9.32
2024,11,10.26
2024,12,12.99
