year,incidence_rate,city
1982.0,23.3,Melbourne
1983.0,24.7,Melbourne
1984.0,26.0,Melbourne
1985.0,28.6,Melbourne
1986.0,29.4,Melbourne
1987.0,34.2,Melbourne
1988.0,36.4,Melbourne
1989.0,34.1,Melbourne
1990.0,34.2,Melbourne
1991.0,34.5,Melbourne
1992.0,37.6,Melbourne
1993.0,38.4,Melbourne
1994.0,39.0,Melbourne
1995.0,41.5,Melbourne
1996.0,43.0,Melbourne
1997.0,45.9,Melbourne
1998.0,43.0,Melbourne
1999.0,44.6,Melbourne
2000.0,45.8,Melbourne
2001.0,46.7,Melbourne
2002.0,50.6,Melbourne
2003.0,48.7,Melbourne
2004.0,49.5,Melbourne
2005.0,53.7,Melbourne
2006.0,51.0,Melbourne
2007.0,50.1,Melbourne
2008.0,52.4,Melbourne
2009.0,52.1,Melbourne
2010.0,52.3,Melbourne
2011.0,52.1,Melbourne
2012.0,53.8,Melbourne
2013.0,55.7,Melbourne
2014.0,56.2,Melbourne
2015.0,57.6,Melbourne
2016.0,60.1,Melbourne
2017.0,60.8,Melbourne
2018.0,60.6,Melbourne
2019.0,61.7,Melbourne
2020.0,64.3,Melbourne
2021.0,66.4,Melbourne
2022.0,67.9,Melbourne
2023.0,69.4,Melbourne
